run_id,trade_index,source,ticket,module,type,open,close,lots,openPrice,closePrice,pl,equity,return_pct,peak_return_pct,dyn_peak_pct,campaign_score,state
83aebd677a7f,3,trace,8,MOMENTUM,SELL,2022.07.21 12:00,2022.07.21 15:23,1.34,1685.15,1692.61,-735.45,73006.66,4.30,6.81,6.81,5,PROTECTING_PROFIT
83aebd677a7f,4,trace,9,PULLBACK,BUY,2022.08.09 11:00,2022.08.09 16:05,2.27,1787.22,1795.99,1455.86,74462.52,6.38,6.81,6.81,5,PROTECTING_PROFIT
83aebd677a7f,5,trace,10,PULLBACK,BUY,2022.08.09 16:10,2022.08.09 17:58,1.64,1798.18,1792.02,-743.93,73718.59,5.31,6.81,6.81,5,PROTECTING_PROFIT
83aebd677a7f,6,trace,11,PULLBACK,BUY,2022.08.10 12:00,2022.08.10 15:29,2.83,1792.53,1788.99,-739.94,72978.65,4.26,6.81,6.81,4,PROTECTING_PROFIT
83aebd677a7f,7,trace,12,PULLBACK,BUY,2022.08.11 15:00,2022.08.11 18:08,2.03,1795.05,1790.16,-731.75,72246.90,3.21,6.81,6.81,4,PROTECTING_PROFIT
83aebd677a7f,8,trace,13,MOMENTUM,SELL,2022.08.22 10:00,2022.08.22 11:36,2.12,1742.27,1733.91,1296.01,73542.91,5.06,6.81,6.81,5,PROTECTING_PROFIT
83aebd677a7f,9,trace,14,MOMENTUM,SELL,2022.08.22 16:00,2022.08.22 16:35,1.38,1730.48,1737.74,-737.22,72805.69,4.01,6.81,6.81,5,PROTECTING_PROFIT
35d46037cfe1,1,trace,8,MOMENTUM,SELL,2023.09.27 19:25,2023.09.28 18:00,1.48,1877.51,1865.40,1294.09,74326.23,6.18,6.18,6.18,3,PROTECTING_PROFIT
1a53d6cc78ab,1,trace,3,PULLBACK,BUY,2023.10.20 10:00,2023.10.23 01:00,1.11,1979.52,1970.64,-802.15,71804.04,2.58,5.78,5.78,4,PROTECTING_PROFIT
1a53d6cc78ab,2,trace,4,PULLBACK,BUY,2023.10.23 12:00,2023.10.23 16:43,0.29,1981.62,1973.25,-178.61,71625.43,2.32,5.78,5.78,4,PROTECTING_PROFIT
1a53d6cc78ab,3,trace,5,PULLBACK,BUY,2023.10.30 12:00,2023.10.31 05:56,1.48,1996.78,1992.45,-575.69,71049.73,1.50,5.78,5.78,2,FAILED_STANDDOWN
2b9a85e9350d,1,trace,3,MOMENTUM,SELL,2024.02.13 17:00,2024.02.15 16:30,1.00,1995.75,2005.67,-745.34,72069.16,2.96,5.22,5.22,3,PROTECTING_PROFIT
2b9a85e9350d,2,trace,4,PULLBACK,BUY,2024.03.04 12:00,2024.03.04 16:16,2.17,2085.40,2094.46,1437.21,73506.37,5.01,5.22,5.22,5,PROTECTING_PROFIT
2b9a85e9350d,3,trace,5,MOMENTUM,BUY,2024.03.04 16:20,2024.03.04 17:58,1.41,2095.63,2108.36,1313.35,74819.72,6.89,6.89,6.89,5,PROTECTING_PROFIT
2b9a85e9350d,4,trace,6,MOMENTUM,BUY,2024.03.05 12:00,2024.03.05 15:34,1.24,2124.57,2139.36,1342.31,76162.03,8.80,8.80,8.80,4,PROTECTING_PROFIT
2b9a85e9350d,5,trace,7,PULLBACK,BUY,2024.03.05 19:00,2024.03.06 16:32,0.93,2128.48,2141.75,838.53,77000.57,10.00,10.00,10.00,4,TARGET_HIT
0fbdcfbba15a,1,trace,9,PULLBACK,BUY,2025.01.23 19:00,2025.01.24 05:01,0.92,2754.26,2775.53,1368.71,73844.63,5.49,5.49,5.49,4,PROTECTING_PROFIT
0fbdcfbba15a,2,trace,10,PULLBACK,BUY,2025.01.24 11:00,2025.01.27 01:00,1.28,2773.40,2765.54,-830.29,73014.35,4.31,7.17,7.17,3,PROTECTING_PROFIT
0fbdcfbba15a,3,trace,11,PULLBACK,BUY,2025.01.27 12:00,2025.01.27 15:43,0.24,2763.31,2752.96,-182.85,72831.50,4.04,7.17,7.17,2,PROTECTING_PROFIT
bc27a6c87533,1,trace,8,MOMENTUM,BUY,2025.10.16 20:00,2025.10.17 01:08,0.27,4282.94,4347.72,1262.82,73869.16,5.53,5.53,5.53,5,PROTECTING_PROFIT
bc27a6c87533,2,trace,9,PULLBACK,BUY,2025.10.17 12:00,2025.10.17 14:57,0.18,4347.45,4291.92,-733.85,73135.31,4.48,5.55,5.55,4,PROTECTING_PROFIT
bc27a6c87533,3,trace,10,MOMENTUM,BUY,2025.11.10 11:00,2025.11.11 02:32,0.40,4082.58,4126.81,1268.08,74403.39,6.29,6.29,6.29,4,PROTECTING_PROFIT
bc27a6c87533,4,trace,11,PULLBACK,BUY,2025.11.11 12:00,2025.11.11 16:33,0.60,4142.01,4125.11,-746.21,73657.18,5.22,6.58,6.58,5,PROTECTING_PROFIT
bc27a6c87533,5,trace,12,PULLBACK,BUY,2025.11.11 16:35,2025.11.11 17:22,0.14,4125.25,4107.58,-182.02,73475.16,4.96,6.58,6.58,4,PROTECTING_PROFIT
bc27a6c87533,6,trace,13,MOMENTUM,BUY,2025.11.12 19:00,2025.11.13 20:32,0.31,4196.68,4164.73,-792.25,72682.91,3.83,6.58,6.58,4,PROTECTING_PROFIT
bc27a6c87533,7,trace,14,MOMENTUM,BUY,2025.11.28 20:00,2025.12.02 11:36,0.32,4216.64,4186.47,-753.83,71929.08,2.76,6.58,6.58,3,PROTECTING_PROFIT
